[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 10:45:19]:[ControllerRol][getRolById]:Encontro id:1
